Comunidades autónomas,Periodo,Dato base,Tasa de variación anual
"15 Navarra, Comunidad Foral de",2023,363686.0,33.02
16 País Vasco,2016,1382083.0,-12.59
16 País Vasco,2017,1514765.0,9.6
16 País Vasco,2018,1552389.0,2.48
16 País Vasco,2019,1611280.0,3.79
16 País Vasco,2020,527286.0,-67.28
16 País Vasco,2021,668683.0,26.82
16 País Vasco,2022,1545013.0,131.05
16 País Vasco,2023,2002173.0,29.59
"17 Rioja, La",2016,150779.0,81.18
"17 Rioja, La",2017,124189.0,-17.64
"17 Rioja, La",2018,142926.0,15.09
"17 Rioja, La",2019,139497.0,-2.4
"17 Rioja, La",2020,45355.0,-67.49
"17 Rioja, La",2021,47913.0,5.64
"17 Rioja, La",2022,105910.0,121.05
"17 Rioja, La",2023,118208.0,11.61
18 Ceuta,2021,3942.0,
18 Ceuta,2022,35937.0,179.0
18 Ceuta,2023,46568.0,30.0
19 Melilla,2021,8918.0,
19 Melilla,2022,25224.0,
19 Melilla,2023,25521.0,1.0
Total,2016,75315008.0,10.46
Total,2017,81868522.0,8.7
Total,2018,82808413.0,1.15
Total,2019,83509153.0,0.85
Total,2020,18933103.0,-77.33
Total,2021,31180802.0,64.69
Total,2022,71659281.0,129.82
Total,2023,85169050.0,18.85
